latitude,longitude,month,year,predicted_individuals
11.48,26.14,10,2014,2962.7905
11.48,26.14,11,2014,2899.8918
11.48,26.14,12,2014,2864.8018
11.48,26.14,1,2015,4261.03
11.48,26.14,2,2015,3919.97
11.48,26.14,3,2015,3675.365
11.48,26.14,4,2015,3451.1196
11.48,26.14,5,2015,3239.5447
11.48,26.14,6,2015,3053.265
11.48,26.14,7,2015,2890.3582
11.48,26.14,8,2015,2750.759
11.48,26.14,9,2015,2634.0945
11.48,26.14,10,2015,2540.3484
11.48,26.14,11,2015,2469.7922
11.94,23.05,8,2013,2042.9524
11.94,23.05,9,2013,3244.571
11.94,23.05,10,2013,2918.7092
11.94,23.05,11,2013,2939.8813
11.94,23.05,12,2013,2943.2202
11.94,23.05,1,2014,4083.4148
11.94,23.05,2,2014,3796.6118
11.94,23.05,3,2014,3592.3962
11.94,23.05,4,2014,3389.3052
11.94,23.05,5,2014,3154.0935
11.94,23.05,6,2014,2950.5244
11.94,23.05,7,2014,2771.4487
11.94,23.05,8,2014,2620.427
11.94,23.05,9,2014,2498.7708
11.94,23.05,10,2014,2406.7717
11.94,23.05,11,2014,2345.4348
11.94,23.05,12,2014,2316.2664
11.94,23.05,1,2015,3550.3877
11.94,23.05,2,2015,3276.155
11.94,23.05,3,2015,3085.5405
11.94,23.05,4,2015,2894.4773
11.94,23.05,5,2015,2673.3474
11.94,23.05,6,2015,2480.2307
11.94,23.05,7,2015,2308.841
12.32,23.6,2,2012,26095.662
12.32,23.6,3,2012,24458.258
12.32,23.6,4,2012,24773.633
12.32,23.6,5,2012,25074.51
12.32,23.6,6,2012,26249.963
12.32,23.6,7,2012,28362.898
12.32,23.6,8,2012,32485.291
12.32,23.6,9,2012,40987.535
12.32,23.6,10,2012,61907.617
12.32,23.6,11,2012,87726.99
12.32,23.6,12,2012,68715.055
12.32,23.6,1,2013,24387.0
12.32,23.6,2,2013,7252.8115
12.32,23.6,3,2013,8989.826
12.32,23.6,4,2013,13063.174
12.32,23.6,5,2013,12410.436
12.32,23.6,6,2013,13196.87
12.32,23.6,7,2013,13534.131
12.32,23.6,8,2013,13912.204
12.32,23.6,9,2013,14453.458
12.32,23.6,10,2013,15236.094
12.32,23.6,11,2013,16455.773
12.32,23.6,12,2013,18415.992
12.32,23.6,1,2014,14458.126
12.478965,32.214789,2,2012,14554.026
12.478965,32.214789,3,2012,10635.411
12.478965,32.214789,4,2012,13223.886
12.478965,32.214789,5,2012,13253.99
12.478965,32.214789,6,2012,13590.641
12.478965,32.214789,7,2012,15780.275
12.478965,32.214789,8,2012,18903.414
12.478965,32.214789,9,2012,24277.562
12.478965,32.214789,10,2012,36386.42
12.478965,32.214789,11,2012,66072.01
12.478965,32.214789,12,2012,63071.47
12.478965,32.214789,1,2013,11155.288
12.478965,32.214789,2,2013,4088.24
12.478965,32.214789,3,2013,8468.858
12.478965,32.214789,4,2013,9117.776
12.478965,32.214789,5,2013,8586.237
12.478965,32.214789,6,2013,9672.556
12.478965,32.214789,7,2013,10769.313
12.478965,32.214789,8,2013,12035.621
12.478965,32.214789,9,2013,14150.79
12.478965,32.214789,10,2013,17512.545
12.478965,32.214789,11,2013,23603.332
12.478965,32.214789,12,2013,37768.67
12.478965,32.214789,1,2014,8804.801
15.789456,33.147852,2,2012,5558.586
15.789456,33.147852,3,2012,13374.538
15.789456,33.147852,4,2012,10695.798
15.789456,33.147852,5,2012,9475.624
15.789456,33.147852,6,2012,13563.228
15.789456,33.147852,7,2012,19617.703
15.789456,33.147852,8,2012,32868.82
15.789456,33.147852,9,2012,56666.305
15.789456,33.147852,10,2012,43289.996
15.789456,33.147852,11,2012,58273.52
15.789456,33.147852,12,2012,40682.344
15.789456,33.147852,1,2013,9880.528
15.789456,33.147852,2,2013,4768.597
15.789456,33.147852,3,2013,9497.047
15.789456,33.147852,4,2013,7868.888
15.789456,33.147852,5,2013,6598.0884
15.789456,33.147852,6,2013,8142.404
15.789456,33.147852,7,2013,9828.241
15.789456,33.147852,8,2013,12041.592
15.789456,33.147852,9,2013,17426.676
15.789456,33.147852,10,2013,33433.242
15.789456,33.147852,11,2013,51836.137
15.789456,33.147852,12,2013,43829.41
15.789456,33.147852,1,2014,9764.043
17.878412,30.478965,2,2016,4576.539
17.878412,30.478965,3,2016,1037.0208
17.878412,30.478965,4,2016,2683.43
17.878412,30.478965,5,2016,2218.4846
17.878412,30.478965,6,2016,1934.2917
17.878412,30.478965,7,2016,1987.4602
17.878412,30.478965,8,2016,1999.2302
17.878412,30.478965,9,2016,2034.9758
17.878412,30.478965,10,2016,2119.9485
17.878412,30.478965,11,2016,2245.7927
17.878412,30.478965,12,2016,2422.8264
17.878412,30.478965,1,2017,1988.926
17.878412,30.478965,2,2017,1841.7195
17.878412,30.478965,3,2017,1764.5271
17.878412,30.478965,4,2017,1670.7932
17.878412,30.478965,5,2017,1601.8557
17.878412,30.478965,6,2017,1556.031
17.878412,30.478965,7,2017,1529.6907
17.878412,30.478965,8,2017,1525.676
17.878412,30.478965,9,2017,1546.2854
17.878412,30.478965,10,2017,1594.3601
17.878412,30.478965,11,2017,1674.0554
17.878412,30.478965,12,2017,1791.0383
17.878412,30.478965,1,2018,1632.8132
16.784125,29.365478,2,2016,1844.9929
16.784125,29.365478,3,2016,2353.9905
16.784125,29.365478,4,2016,2811.1196
16.784125,29.365478,5,2016,2673.0767
16.784125,29.365478,6,2016,2662.8396
16.784125,29.365478,7,2016,2705.258
16.784125,29.365478,8,2016,2766.5266
16.784125,29.365478,9,2016,2866.1333
16.784125,29.365478,10,2016,3011.0535
16.784125,29.365478,11,2016,3209.9866
16.784125,29.365478,12,2016,3476.7039
16.784125,29.365478,1,2017,2563.8684
16.784125,29.365478,2,2017,2404.0872
16.784125,29.365478,3,2017,2367.3909
16.784125,29.365478,4,2017,2297.6497
16.784125,29.365478,5,2017,2256.6604
16.784125,29.365478,6,2017,2241.8293
16.784125,29.365478,7,2017,2249.8494
16.784125,29.365478,8,2017,2284.1345
16.784125,29.365478,9,2017,2348.1028
16.784125,29.365478,10,2017,2446.1765
16.784125,29.365478,11,2017,2584.5046
16.784125,29.365478,12,2017,2771.537
16.784125,29.365478,1,2018,2216.473
14.521478,30.487965,2,2012,7878.0654
14.521478,30.487965,3,2012,6708.188
14.521478,30.487965,4,2012,7151.4233
14.521478,30.487965,5,2012,7443.1753
14.521478,30.487965,6,2012,7769.8457
14.521478,30.487965,7,2012,8278.984
14.521478,30.487965,8,2012,8984.733
14.521478,30.487965,9,2012,9968.88
14.521478,30.487965,10,2012,11386.178
14.521478,30.487965,11,2012,13540.485
14.521478,30.487965,12,2012,17145.924
14.521478,30.487965,1,2013,6934.5635
14.521478,30.487965,2,2013,5459.2866
14.521478,30.487965,3,2013,5909.685
14.521478,30.487965,4,2013,6000.021
14.521478,30.487965,5,2013,6098.498
14.521478,30.487965,6,2013,6323.169
14.521478,30.487965,7,2013,6637.6562
14.521478,30.487965,8,2013,7067.3003
14.521478,30.487965,9,2013,7652.8154
14.521478,30.487965,10,2013,8454.419
14.521478,30.487965,11,2013,9576.016
14.521478,30.487965,12,2013,11211.663
14.521478,30.487965,1,2014,5556.52
15.698745,29.874563,2,2016,2862.8157
15.698745,29.874563,3,2016,2239.7546
15.698745,29.874563,4,2016,1921.5706
15.698745,29.874563,5,2016,2051.2107
15.698745,29.874563,6,2016,2151.6848
15.698745,29.874563,7,2016,2316.3
15.698745,29.874563,8,2016,2565.2156
15.698745,29.874563,9,2016,2895.2346
15.698745,29.874563,10,2016,3338.3975
15.698745,29.874563,11,2016,3942.879
15.698745,29.874563,12,2016,4791.8076
15.698745,29.874563,1,2017,1828.6497
15.698745,29.874563,2,2017,1591.3801
15.698745,29.874563,3,2017,1616.99
15.698745,29.874563,4,2017,1529.1145
15.698745,29.874563,5,2017,1574.2
15.698745,29.874563,6,2017,1668.1497
15.698745,29.874563,7,2017,1797.2068
15.698745,29.874563,8,2017,1976.8508
15.698745,29.874563,9,2017,2214.9182
15.698745,29.874563,10,2017,2527.3035
15.698745,29.874563,11,2017,2939.81
15.698745,29.874563,12,2017,3493.2412
15.698745,29.874563,1,2018,1402.1458
12.689457,30.147852,2,2012,11777.637
12.689457,30.147852,3,2012,10956.692
12.689457,30.147852,4,2012,12763.905
12.689457,30.147852,5,2012,19779.629
12.689457,30.147852,6,2012,28406.936
12.689457,30.147852,7,2012,55220.617
12.689457,30.147852,8,2012,57486.777
12.689457,30.147852,9,2012,55090.44
12.689457,30.147852,10,2012,50357.086
12.689457,30.147852,11,2012,48912.637
12.689457,30.147852,12,2012,46770.664
12.689457,30.147852,1,2013,50799.91
12.689457,30.147852,2,2013,73601.1
12.689457,30.147852,3,2013,92288.875
12.689457,30.147852,4,2013,85673.42
12.689457,30.147852,5,2013,94831.734
12.689457,30.147852,6,2013,75287.36
12.689457,30.147852,7,2013,89373.03
12.689457,30.147852,8,2013,57141.66
12.689457,30.147852,9,2013,78638.04
12.689457,30.147852,10,2013,46629.91
12.689457,30.147852,11,2013,62961.773
12.689457,30.147852,12,2013,43801.27
12.689457,30.147852,1,2014,25514.992
12.31,23.47,3,2012,12504.242
12.31,23.47,4,2012,10710.495
12.31,23.47,5,2012,10524.114
12.31,23.47,6,2012,10144.37
12.31,23.47,7,2012,9502.538
12.31,23.47,8,2012,8997.664
12.31,23.47,9,2012,8514.247
12.31,23.47,10,2012,8099.322
12.31,23.47,11,2012,7743.027
12.31,23.47,12,2012,7450.1294
12.31,23.47,1,2013,13161.957
12.31,23.47,2,2013,11269.108
12.31,23.47,3,2013,10424.154
12.31,23.47,4,2013,9976.497
12.31,23.47,5,2013,9219.227
12.31,23.47,6,2013,8605.094
12.31,23.47,7,2013,8041.618
12.31,23.47,8,2013,7533.8516
12.31,23.47,9,2013,7085.0845
12.31,23.47,10,2013,6691.144
12.31,23.47,11,2013,6351.0635
12.31,23.47,12,2013,6063.2524
12.31,23.47,1,2014,11431.235
12.31,23.47,2,2014,9833.571
14.365478,30.784125,5,2014,5118.511
14.365478,30.784125,6,2014,5776.8228
14.365478,30.784125,7,2014,5524.304
14.365478,30.784125,8,2014,5921.456
14.365478,30.784125,9,2014,6225.5977
14.365478,30.784125,10,2014,6525.4507
14.365478,30.784125,11,2014,6996.5586
14.365478,30.784125,12,2014,7624.9067
14.365478,30.784125,1,2015,5238.44
14.365478,30.784125,2,2015,4964.394
14.365478,30.784125,3,2015,5061.674
14.365478,30.784125,4,2015,4830.703
14.365478,30.784125,5,2015,4744.3867
14.365478,30.784125,6,2015,4743.2246
14.365478,30.784125,7,2015,4758.744
14.365478,30.784125,8,2015,4827.3496
14.365478,30.784125,9,2015,4955.49
14.365478,30.784125,10,2015,5147.893
14.365478,30.784125,11,2015,5420.605
14.365478,30.784125,12,2015,5794.2363
14.365478,30.784125,1,2016,4470.2275
14.365478,30.784125,2,2016,4256.761
14.365478,30.784125,3,2016,4225.284
14.365478,30.784125,4,2016,4057.4487
12.345678,24.876543,3,2012,11893.667
12.345678,24.876543,4,2012,11398.373
12.345678,24.876543,5,2012,10207.275
12.345678,24.876543,6,2012,9273.028
12.345678,24.876543,7,2012,9057.328
12.345678,24.876543,8,2012,9014.796
12.345678,24.876543,9,2012,9266.451
12.345678,24.876543,10,2012,9818.361
12.345678,24.876543,11,2012,10753.36
12.345678,24.876543,12,2012,12285.766
12.345678,24.876543,1,2013,7989.4585
12.345678,24.876543,2,2013,7455.646
12.345678,24.876543,3,2013,7051.3403
12.345678,24.876543,4,2013,6560.1953
12.345678,24.876543,5,2013,6368.218
12.345678,24.876543,6,2013,6250.7427
12.345678,24.876543,7,2013,6221.7354
12.345678,24.876543,8,2013,6288.5283
12.345678,24.876543,9,2013,6451.6665
12.345678,24.876543,10,2013,6731.444
